Brand Name,Percentage Share of Brand,Quarter,Registered Users Count,State,Year
Xiaomi,0.24703264094955402,1,1665.0,andaman-&-nicobar-islands,2018
Samsung,0.21439169139465802,1,1445.0,andaman-&-nicobar-islands,2018
Vivo,0.145697329376854,1,982.0,andaman-&-nicobar-islands,2018
Oppo,0.07433234421364901,1,501.0,andaman-&-nicobar-islands,2018
OnePlus,0.049258160237388,1,332.0,andaman-&-nicobar-islands,2018
Realme,0.046884272997032,1,316.0,andaman-&-nicobar-islands,2018
Apple,0.033976261127596004,1,229.0,andaman-&-nicobar-islands,2018
Motorola,0.033531157270029005,1,226.0,andaman-&-nicobar-islands,2018
Lenovo,0.029970326409495002,1,202.0,andaman-&-nicobar-islands,2018
Huawei,0.023442136498516,1,158.0,andaman-&-nicobar-islands,2018
Others,0.10148367952522201,1,684.0,andaman-&-nicobar-islands,2018
Xiaomi,0.24486975013290802,2,2303.0,andaman-&-nicobar-islands,2018
Samsung,0.20446570972886702,2,1923.0,andaman-&-nicobar-islands,2018
Vivo,0.16193514088250902,2,1523.0,andaman-&-nicobar-islands,2018
Oppo,0.075279106858054,2,708.0,andaman-&-nicobar-islands,2018
OnePlus,0.049548112706007,2,466.0,andaman-&-nicobar-islands,2018
Realme,0.049441786283891,2,465.0,andaman-&-nicobar-islands,2018
Motorola,0.03391812865497,2,319.0,andaman-&-nicobar-islands,2018
Apple,0.032748538011695,2,308.0,andaman-&-nicobar-islands,2018
Lenovo,0.025943646996278002,2,244.0,andaman-&-nicobar-islands,2018
Huawei,0.024455077086656,2,230.0,andaman-&-nicobar-islands,2018
Others,0.09739500265816001,2,916.0,andaman-&-nicobar-islands,2018
Xiaomi,0.24281833895793803,3,2950.0,andaman-&-nicobar-islands,2018
Samsung,0.19828792493209302,3,2409.0,andaman-&-nicobar-islands,2018
Vivo,0.16980821466787302,3,2063.0,andaman-&-nicobar-islands,2018
Oppo,0.081323565725574,3,988.0,andaman-&-nicobar-islands,2018
OnePlus,0.050786072927812,3,617.0,andaman-&-nicobar-islands,2018
Realme,0.049633714709029005,3,603.0,andaman-&-nicobar-islands,2018
Motorola,0.032101407523252,3,390.0,andaman-&-nicobar-islands,2018
Apple,0.030537492797761003,3,371.0,andaman-&-nicobar-islands,2018
Huawei,0.025845748621285,3,314.0,andaman-&-nicobar-islands,2018
Lenovo,0.02461107910116,3,299.0,andaman-&-nicobar-islands,2018
Others,0.094246440036216,3,1145.0,andaman-&-nicobar-islands,2018
Xiaomi,0.244317435291026,4,3719.0,andaman-&-nicobar-islands,2018
Samsung,0.19287872815661503,4,2936.0,andaman-&-nicobar-islands,2018
Vivo,0.180134016554986,4,2742.0,andaman-&-nicobar-islands,2018
Oppo,0.08330048613848301,4,1268.0,andaman-&-nicobar-islands,2018
Realme,0.049927736171330006,4,760.0,andaman-&-nicobar-islands,2018
OnePlus,0.047365654973065004,4,721.0,andaman-&-nicobar-islands,2018
Motorola,0.031139140717382004,4,474.0,andaman-&-nicobar-islands,2018
Apple,0.029890947313099003,4,455.0,andaman-&-nicobar-islands,2018
Huawei,0.026146367100249004,4,398.0,andaman-&-nicobar-islands,2018
Lenovo,0.024766784916568002,4,377.0,andaman-&-nicobar-islands,2018
Others,0.090132702667192,4,1372.0,andaman-&-nicobar-islands,2018
Xiaomi,0.24607442460744203,1,4576.0,andaman-&-nicobar-islands,2019
Samsung,0.191815444181544,1,3567.0,andaman-&-nicobar-islands,2019
Vivo,0.18391051839105102,1,3420.0,andaman-&-nicobar-islands,2019
Oppo,0.086040008604,1,1600.0,andaman-&-nicobar-islands,2019
Realme,0.048236179823617005,1,897.0,andaman-&-nicobar-islands,2019
OnePlus,0.045977629597762006,1,855.0,andaman-&-nicobar-islands,2019
Motorola,0.030167778016777003,1,561.0,andaman-&-nicobar-islands,2019
Apple,0.027694127769412002,1,515.0,andaman-&-nicobar-islands,2019
Huawei,0.027694127769412002,1,515.0,andaman-&-nicobar-islands,2019
Lenovo,0.022908152290815,1,426.0,andaman-&-nicobar-islands,2019
Others,0.08948160894816001,1,1664.0,andaman-&-nicobar-islands,2019
Xiaomi,0.24370714647278002,2,5296.0,andaman-&-nicobar-islands,2019
Samsung,0.19166168146886903,2,4165.0,andaman-&-nicobar-islands,2019
Vivo,0.18876259721135702,2,4102.0,andaman-&-nicobar-islands,2019
Oppo,0.087662785881919,2,1905.0,andaman-&-nicobar-islands,2019
Realme,0.04656941696194301,2,1012.0,andaman-&-nicobar-islands,2019
OnePlus,0.043716349914868,2,950.0,andaman-&-nicobar-islands,2019
Huawei,0.029635083521236002,2,644.0,andaman-&-nicobar-islands,2019
Motorola,0.028990842575123,2,630.0,andaman-&-nicobar-islands,2019
Apple,0.026183792738484,2,569.0,andaman-&-nicobar-islands,2019
Lenovo,0.021950209378307002,2,477.0,andaman-&-nicobar-islands,2019
Others,0.09116009387510901,2,1981.0,andaman-&-nicobar-islands,2019
Xiaomi,0.24315741088964102,3,5819.0,andaman-&-nicobar-islands,2019
Vivo,0.19577117546278802,3,4685.0,andaman-&-nicobar-islands,2019
Samsung,0.188374911203042,3,4508.0,andaman-&-nicobar-islands,2019
Oppo,0.088086582257323,3,2108.0,andaman-&-nicobar-islands,2019
Realme,0.04838911871630901,3,1158.0,andaman-&-nicobar-islands,2019
OnePlus,0.043667209895115,3,1045.0,andaman-&-nicobar-islands,2019
Huawei,0.030295432702352004,3,725.0,andaman-&-nicobar-islands,2019
Motorola,0.027579290460072,3,660.0,andaman-&-nicobar-islands,2019
Apple,0.026325686348251002,3,630.0,andaman-&-nicobar-islands,2019
Lenovo,0.020183026200325003,3,483.0,andaman-&-nicobar-islands,2019
Others,0.088170155864777,3,2110.0,andaman-&-nicobar-islands,2019
Xiaomi,0.24110169491525402,4,6259.0,andaman-&-nicobar-islands,2019
Vivo,0.19992295839753402,4,5190.0,andaman-&-nicobar-islands,2019
Samsung,0.18875192604006102,4,4900.0,andaman-&-nicobar-islands,2019
Oppo,0.089714946070878,4,2329.0,andaman-&-nicobar-islands,2019
Realme,0.051194144838212004,4,1329.0,andaman-&-nicobar-islands,2019
OnePlus,0.043297380585516,4,1124.0,andaman-&-nicobar-islands,2019
Huawei,0.030739599383667004,4,798.0,andaman-&-nicobar-islands,2019
Motorola,0.026271186440677004,4,682.0,andaman-&-nicobar-islands,2019
Apple,0.026117103235747,4,678.0,andaman-&-nicobar-islands,2019
Lenovo,0.01879815100154,4,488.0,andaman-&-nicobar-islands,2019
Others,0.08409090909090901,4,2183.0,andaman-&-nicobar-islands,2019
Xiaomi,0.23981246474901202,1,6803.0,andaman-&-nicobar-islands,2020
Vivo,0.207275803722504,1,5880.0,andaman-&-nicobar-islands,2020
Samsung,0.188064015792442,1,5335.0,andaman-&-nicobar-islands,2020
Oppo,0.090136773829667,1,2557.0,andaman-&-nicobar-islands,2020
Realme,0.053264241398759,1,1511.0,andaman-&-nicobar-islands,2020
OnePlus,0.041737168640721,1,1184.0,andaman-&-nicobar-islands,2020
Huawei,0.031408629441624,1,891.0,andaman-&-nicobar-islands,2020
Apple,0.025909475465313,1,735.0,andaman-&-nicobar-islands,2020
Motorola,0.025204455724760003,1,715.0,andaman-&-nicobar-islands,2020
Lenovo,0.017625493513818,1,500.0,andaman-&-nicobar-islands,2020
Others,0.079561477721376,1,2257.0,andaman-&-nicobar-islands,2020
Xiaomi,0.23861204524610202,2,7805.0,andaman-&-nicobar-islands,2020
Vivo,0.21773158055640401,2,7122.0,andaman-&-nicobar-islands,2020
Samsung,0.18434729440538,2,6030.0,andaman-&-nicobar-islands,2020
Oppo,0.090981351268725,2,2976.0,andaman-&-nicobar-islands,2020
Realme,0.053836747172118005,2,1761.0,andaman-&-nicobar-islands,2020
OnePlus,0.038856618771018,2,1271.0,andaman-&-nicobar-islands,2020
Huawei,0.030724549067563004,2,1005.0,andaman-&-nicobar-islands,2020
Apple,0.024212778966676,2,792.0,andaman-&-nicobar-islands,2020
Motorola,0.023815346988688,2,779.0,andaman-&-nicobar-islands,2020
Lenovo,0.016875573219199,2,552.0,andaman-&-nicobar-islands,2020
